※ 매월 말일자 통계 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020년01월,,,,2020년02월,,,,2020년03월,,,,2020년04월,,,,2020년05월,,,,2020년06월,,,,2020년07월,,,,2020년08월,,,,2020년09월,,,,2020년10월,,,,2020년11월,,,,2020년12월,,,
행정기관코드,행정기관,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수
5000000000,제주특별자치도  ,670749,293362,337231,333518,670876,293932,337295,333581,670508,294297,337055,333453,670595,295387,337119,333476,670793,296803,337111,333682,671316,297669,337343,333973,671913,298347,337587,334326,672524,299051,337822,334702,672948,299807,337932,335016,673606,300540,338190,335416,674001,301100,338312,335689,674635,302033,338609,336026
5011000000,제주특별자치도 제주시 ,489202,209614,245389,243813,489456,210114,245546,243910,489271,210441,245378,243893,489466,211344,245486,243980,489734,212487,245567,244167,490254,213135,245805,244449,490772,213706,246023,244749,491184,214215,246206,244978,491446,214750,246224,245222,491949,215301,246412,245537,492072,215577,246407,245665,492466,216202,246588,245878
5013000000,제주특별자치도 서귀포시 ,181547,83748,91842,89705,181420,83818,91749,89671,181237,83856,91677,89560,181129,84043,91633,89496,181059,84316,91544,89515,181062,84534,91538,89524,181141,84641,91564,89577,181340,84836,91616,89724,181502,85057,91708,89794,181657,85239,91778,89879,181929,85523,91905,90024,182169,85831,92021,90148
