※ 매월 말일자 통계 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008년01월,,,,2008년02월,,,,2008년03월,,,,2008년04월,,,,2008년05월,,,,2008년06월,,,,2008년07월,,,,2008년08월,,,,2008년09월,,,,2008년10월,,,,2008년11월,,,,2008년12월,,,
행정기관코드,행정기관,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수
5000000000,제주특별자치도  ,558818,212130,279055,279763,559019,212579,279189,279830,559151,212626,279215,279936,559407,212967,279341,280066,559540,213145,279359,280181,559722,213353,279427,280295,560266,213695,279739,280527,560372,213763,279871,280501,560472,213937,279965,280507,560489,214145,280000,280489,560617,214413,280041,280576,560618,214681,280088,280530
5011000000,제주특별자치도 제주시 ,405454,153365,201928,203526,405953,153827,202212,203741,406132,153841,202285,203847,406458,154171,202450,204008,406509,154275,202464,204045,406667,154413,202518,204149,407145,154691,202803,204342,407198,154712,202900,204298,407269,154811,202954,204315,407283,154975,202988,204295,407411,155163,203021,204390,407498,155398,203107,204391
5013000000,제주특별자치도 서귀포시 ,153364,58765,77127,76237,153066,58752,76977,76089,153019,58785,76930,76089,152949,58796,76891,76058,153031,58870,76895,76136,153055,58940,76909,76146,153121,59004,76936,76185,153174,59051,76971,76203,153203,59126,77011,76192,153206,59170,77012,76194,153206,59250,77020,76186,153120,59283,76981,76139
