※ 매월 말일자 통계 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012년01월,,,,2012년02월,,,,2012년03월,,,,2012년04월,,,,2012년05월,,,,2012년06월,,,,2012년07월,,,,2012년08월,,,,2012년09월,,,,2012년10월,,,,2012년11월,,,,2012년12월,,,
행정기관코드,행정기관,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수
5000000000,제주특별자치도  ,576507,228078,288378,288129,577094,228606,288701,288393,577812,229079,289106,288706,578437,229418,289409,289028,579260,229862,289833,289427,579859,230230,290194,289665,580794,230679,290710,290084,581340,231011,290971,290369,582022,231295,291287,290735,582693,231648,291659,291034,583293,231980,291973,291320,583713,232141,292213,291500
5011000000,제주특별자치도 제주시 ,423100,165646,211045,212055,423853,166085,211410,212443,424561,166441,211786,212775,425136,166690,212094,213042,425728,166968,212412,213316,426193,167216,212701,213492,427028,167542,213166,213862,427514,167802,213392,214122,428105,168062,213688,214417,428736,168306,214042,214694,429264,168523,214347,214917,429656,168658,214588,215068
5013000000,제주특별자치도 서귀포시 ,153407,62432,77333,76074,153241,62521,77291,75950,153251,62638,77320,75931,153301,62728,77315,75986,153532,62894,77421,76111,153666,63014,77493,76173,153766,63137,77544,76222,153826,63209,77579,76247,153917,63233,77599,76318,153957,63342,77617,76340,154029,63457,77626,76403,154057,63483,77625,76432
